No,x,y,number,amount
152,128.5455818,35.83278771,0,0
153,128.5176797,35.806398,0,0
154,128.5227378,35.8120305,182,3699
155,128.5262531,35.81478641,0,0
156,128.5548763,35.82190898,40,734
157,128.5296275,35.84329402,0,0
158,128.5489513,35.81278399,0,0
159,128.5404334,35.81910359,0,0
160,128.4882946,35.83285776,0,0
161,128.4795968,35.83775952,0,0
162,128.5312239,35.8566625,26,626
163,128.5421792,35.85102665,17,463
164,128.5721971,35.85568742,9,190
165,128.5531474,35.84061372,23,508
166,128.5282742,35.83094908,44,1343
167,128.541042,35.83444093,30,1116
168,128.5228367,35.819515,77,1464
169,128.5362624,35.81255812,39,785
170,128.5450096,35.81426535,26,352
171,128.5547573,35.82923413,28,650
172,128.5321898,35.8074824,35,761
173,128.4942567,35.87222087,16,507
174,128.6230237,35.80243192,67,777
175,128.5007188,35.80423352,40,977
176,128.4204628,35.77418923,10,105
177,128.4634038,35.7893939,9,386
178,128.4475718,35.69724955,20,480
179,128.4988313,35.85896696,0,0
180,128.5554702,35.85369882,0,0
181,128.5502024,35.810066,0,0
182,128.5139384,35.81725189,0,0
183,128.4527824,35.73003901,165,2626
184,128.4313894,35.77466292,134,3423
185,128.4659878,35.68837343,78,1991
186,128.4539695,35.8618255,253,4958
187,128.4468507,35.7826012,137,2398
188,128.4384773,35.86387965,87,1444
189,128.5039327,35.69364206,12,392
190,128.4194236,35.64094271,62,1474
191,128.4455528,35.90126042,0,0
192,128.4776988,35.89031671,122,2586
193,128.4634038,35.7893939,0,0
194,128.4048891,35.64517207,0,0
195,128.4596465,35.69433414,0,0
196,128.4609552,35.8654753,136,3470
197,128.501426,35.81083359,0,0
