No,name,addr,x,y,state,number,amount,zero
57,비산7동행정복지센터,대구광역시 서구 서구 염색공단로5길 4,128.5535552,35.88795925,정좌표,0,0 ,1454
58,충혼탑 주차장,대구광역시 남구 앞산순환로 540,128.5837349,35.8322445,정좌표,336,5589 ,5589
59,대명3동 행정복지센터,대구광역시 남구 명덕로20길 115,128.5790577,35.85230256,정좌표,0,0 ,1454
60,대명2동 행정복지센터,대구광역시 남구 명덕로32길 30,128.5863225,35.85515365,정좌표,0,0 ,1454
61,남구청,대구광역시 남구 이천로 51,128.5978346,35.84552398,정좌표,0,0 ,1454
62,봉덕3동 행정복지센터,대구광역시 남구 중앙대로22길 100,128.5959412,35.84241851,정좌표,0,0 ,1454
63,대명5동 행정복지센터,대구광역시 남구 대명로58길 11,128.5878028,35.84323175,정좌표,125,3200 ,3200
64,대명4동 행정복지센터,대구광역시 남구 두류공원로20길 19,128.5695084,35.84597103,정좌표,0,0 ,1454
65,대명11동 행정복지센터,대구광역시 남구 관문시장4길 53,128.5606365,35.83624168,정좌표,0,0 ,1454
66,이천동행정복지센터,대구광역시 남구 이천로28길 18(이천동),128.5994185,35.85368218,정좌표,15,349 ,349
67,봉덕2동행정복지센터,대구광역시 남구 이천로10길 50(봉덕동),128.6011109,35.84382728,정좌표,27,631 ,631
68,대명9동행정복지센터,대구광역시 남구 큰골길 53(대명동),128.5790238,35.8372365,정좌표,45,830 ,830
69,농수산물도매시장,대구광역시 북구 매천로18길 34,128.5425318,35.9021357,정좌표,268,5685 ,5685
70,매천역환승공영주차장,대구광역시 북구 태전동 881-10,128.5427922,35.91387816,정좌표,110,3553 ,3553
71,북구청,대구광역시 북구 옥산로 65,128.5833045,35.88545422,정좌표,302,7426 ,7426
72,시청별관,대구광역시 북구 연암로 60,128.5970876,35.89115552,정좌표,395,9693 ,9693
73,올브랜 주차장,대구광역시 북구 산격동 1671,128.6119922,35.90549122,정좌표,27,759 ,759
74,패션센터 주차장,대구광역시 북구 유통단지로 14길 17,128.6117412,35.90617925,정좌표,105,2043 ,2043
75,관음공영주차장,대구광역시 북구 관음중앙로 80,128.5446932,35.94104958,정좌표,79,2106 ,2106
76,복현장미공원공영주차장,대구광역시 북구 복현동 439-1,128.6175054,35.89318837,정좌표,74,1880 ,1880
77,대구 부광교회,대구광역시 북구 칠곡중앙대로52길38,128.5494828,35.9216739,정좌표,314,7163 ,7163
78,구암동 행정복지센터,대구광역시 북구 구암서로 32,128.566041,35.93893254,정좌표,217,5032 ,5032
79,한국도로공사 칠곡영업소,대구광역시 북구 관음로 41,128.5393414,35.93450683,정좌표,133,2943 ,2943
80,태전1동 행정복지센터,대구광역시 북구 태전로7길 10-24,128.5434037,35.92413288,정좌표,0,0 ,1454
81,유니버시아드 레포츠센터,대구광역시 북구 호국로57길 6,128.5979483,35.92799875,정좌표,99,2742 ,2742
82,무태조야동 행정복지센터,대구광역시 북구 호국로43길 20,128.5970445,35.9213512,정좌표,0,0 ,1454
83,아이빌,대구광역시 북구 3공단로 240,128.5769348,35.90205856,정좌표,71,1367 ,1367
84,대구체육관 주차장,대구광역시 북구 대구체육관로 39,128.6030172,35.89290315,정좌표,172,3521 ,3521
85,대구은행(3공단지점),대구광역시 북구 노원동로 2,128.5715294,35.89440759,정좌표,0,0 ,1454
86,명성 푸르지오,대구광역시 북구 침산로 153,128.5904541,35.88946123,정좌표,0,0 ,1454
87,침산1차 푸르지오,대구광역시 북구 침산로21길 23,128.5868909,35.88562917,정좌표,0,0 ,1454
88,대구은행 제2본점영업부,대구광역시 북구 옥산로 111,128.5882181,35.88445306,정좌표,53,1148 ,1148
89,고성동 행정복지센터,대구광역시 북구 고성로31길 21,128.5835145,35.88185509,정좌표,0,0 ,1454
90,대구사격장,대구광역시 북구 문주길 170,128.524326,35.91130567,정좌표,10,297 ,297
91,동림플라자,대구광역시 북구 한강로8길 20,128.5175555,35.8954766,정좌표,199,5840 ,5840
92,대구유통단지 전자관,대구광역시 북구 유통단지로 45,128.6070181,35.90720333,정좌표,0,0 ,1454
93,운암지 공영주차장,대구광역시 북구 구암동 415-2,128.563765,35.93129033,인근좌표,0,0 ,1454
94,대현동 행정복지센터,대구광역시 북구 대현남로 25,128.6057727,35.88110679,정좌표,0,0 ,1454
95,대구지식산업센터,대구광역시 북구 오봉로 164,128.5797145,35.90245507,정좌표,0,0 ,1454
