num,x,y
1,128.5980476,35.8596688
2,128.5967568,35.86416708
3,128.5835169,35.85812625
4,128.6120086,35.87364389
5,128.5851395,35.87847465
6,128.6150335,35.86386141
7,128.6131572,35.87045863
8,128.6112062,35.87133116
9,128.593815,35.85986097
10,128.5887127,35.86218312
11,128.6150081,35.86591316
12,128.5975458,35.85763974
13,128.6010341,35.86033032
14,128.6133887,35.86619161
15,128.6058636,35.87075464
16,128.5915813,35.86026297
17,128.6100918,35.8692414
18,128.6110743,35.86617572
19,128.6031541,35.86669317
20,128.6037632,35.85559742
21,128.582217,35.86287225
22,128.6093728,35.87317411
23,128.5922326,35.8620031
24,128.5773303,35.86456679
25,128.5878397,35.87789036
26,128.5852304,35.87596447
27,128.592522,35.86745605
28,128.5842388,35.87727866
29,128.5811843,35.86534607
30,128.5905548,35.86455271
31,128.5906274,35.85861385
32,128.5989632,35.86102593
33,128.7611791,35.87577451
34,128.5950942,35.87388597
35,128.5957674,35.85937905
36,128.6433125,35.90778853
37,128.608759,35.863368
38,128.6067543,35.85840792
39,128.634601,35.98234646
40,128.6126836,35.86716378
41,128.6021871,35.85948505
42,128.7559894,35.87708333
43,128.5787697,35.86400248
44,128.7569454,35.88166636
45,128.5884746,35.86488426
46,128.6045498,35.87101157
47,128.5847855,35.86622591
48,128.5845348,35.86494032
49,128.5861894,35.86572217
50,128.5860066,35.86709336
51,128.5861838,35.86343362
52,128.5858231,35.86949721
53,128.5876207,35.86383822
54,128.5838109,35.86275036
55,128.5843251,35.86853837
56,128.5885193,35.87131863
57,128.5885072,35.86771344
58,128.5885463,35.86041388
59,128.5873721,35.8704409
60,128.5840938,35.86723417
61,128.5885144,35.85832825
62,128.5992297,35.85975327
63,128.5989884,35.87400558
64,128.5936525,35.87289726
65,128.5977079,35.87228688
66,128.5967967,35.85995778
67,128.5988897,35.85785727
68,128.5991393,35.87213723
69,128.5938024,35.8746362
70,128.5969501,35.87295779
71,128.5962642,35.87427697
72,128.5980547,35.87336169
73,128.5917905,35.87245634
74,128.5927497,35.85935314
75,128.5916239,35.85894668
76,128.5916117,35.85706158
77,128.5864235,35.87174275
78,128.599983,35.87343528
79,128.5874439,35.87179836
80,128.5836529,35.87194541
81,128.585462,35.87202039
82,128.7413876,35.87213177
83,128.5865333,35.86832718
84,128.5910853,35.87361795
85,128.5972284,35.87490442
86,128.5923232,35.87330834
87,128.5839572,35.87097519
88,128.5981887,35.86172735
89,128.5871482,35.86477489
90,128.5848816,35.86374234
91,128.5847427,35.86951176
92,128.5852641,35.87083212
93,128.7379487,35.87105005
94,128.5952939,35.86490138
95,128.5895552,35.86724705
96,128.5895044,35.86332762
97,128.5885762,35.85702657
98,128.5855628,35.86155993
99,128.6021266,35.85753801
100,128.6043804,35.86516834
101,128.5968224,35.86830484
102,128.6139175,35.87217709
103,128.6058493,35.86972305
104,128.602292,35.86802608
105,128.6065266,35.8557458
106,128.5966366,35.86623102
107,128.5820808,35.87647727
108,128.6143485,35.86967923
109,128.6157281,35.8672033
110,128.6134025,35.86494578
111,128.5818025,35.85857402
112,128.5967149,35.8620496
113,128.5907301,35.86319724
114,128.577876,35.86316205
115,128.602991,35.86493846
116,128.6077041,35.86842024
117,128.5821047,35.86043428
118,128.5922229,35.8653986
119,128.5938578,35.8629556
120,128.6029556,35.87052676
121,128.6028652,35.87336456
122,128.6028392,35.85849711
123,128.6028226,35.85677114
124,128.5833728,35.87513051
125,128.6134227,35.86918561
126,128.607645,35.87150638
127,128.5897486,35.87505292
128,128.5925885,35.87495628
129,128.5878517,35.87501218
130,128.5845837,35.87497054
131,128.5779129,35.86550728
132,128.5778256,35.86170981
133,128.6099282,35.86746173
134,128.6107211,35.86364941
135,128.606779,35.85709972
136,128.6054788,35.85833299
137,128.6055654,35.86220814
138,128.604378,35.86025575
139,128.607563,35.86492992
140,128.6090004,35.87187137
141,128.6052707,35.87307052
142,128.6034481,35.87187391
143,128.6081693,35.86930748
144,128.6043685,35.8639108
145,128.6029909,35.86155099
146,128.5945768,35.86128845
147,128.6006039,35.85936558
148,128.5811397,35.8673676
149,128.5814123,35.8790467
150,128.595931,35.86057695
151,128.5945428,35.85731345
152,128.582198,35.86762358
153,128.5980384,35.86829492
154,128.5901997,35.8691725
155,128.5893298,35.87038012
156,128.5987239,35.86480283
157,128.6009968,35.86252095
158,128.5976696,35.86599704
159,128.5957105,35.87048893
160,128.6003341,35.87194668
161,128.599839,35.86950803
162,128.5857201,35.87362306
163,128.6000774,35.86760829
164,128.6115124,35.86439368
165,128.611035,35.86778041
166,128.6107043,35.86524239
167,128.6047872,35.86638264
168,128.5944089,35.87645512
169,128.5801595,35.85964371
170,128.5987235,35.86651218
